1689046;"Computer - Dell Optiplex 745 Desktop Core2 2.40/2GB/NoHD - (239798)-CM-RR";"FL";"5 days 16 hours";"0";"$1.00"
1688096;"Computer - Dell Optiplex GX620 Desktop P4 3.80/4GB/NoHD - (222460)-CM-NN";"FL";"5 days 16 hours";"0";"$1.00"
1688100;"Computer - Dell Optiplex GX620 Desktop PD 3.40/4GB/NoHD - (228293)-CM-NN";"FL";"5 days 16 hours";"0";"$1.00"
1688103;"Computer - Dell Optiplex GX620 Desktop P4 3.00/4GB/NoHD - (228168)-CM-NN";"FL";"5 days 16 hours";"0";"$1.00"
1688108;"Computer - Dell Optiplex GX620 Desktop P4 3.80/4GB/NoHD - (222801)-CM-HH";"FL";"5 days 16 hours";"0";"$1.00"
1688110;"Computer - Dell Optiplex GX620 Desktop P4 3.80/4GB/NoHD - (219253)-CM-HH";"FL";"5 days 16 hours";"0";"$1.00"
1688115;"Computer - Dell Optiplex GX620 Desktop P4 3.80/4GB/NoHD - (216646)-CM-HH";"FL";"5 days 16 hours";"0";"$1.00"
1688120;"Computer - Dell Optiplex GX620 Desktop P4 3.40/4GB/NoHD - (215995)-CM-LL";"FL";"5 days 16 hours";"0";"$1.00"
1688126;"Computer - Dell Optiplex GX620 Desktop P4 3.80/3GB/NoHD - (221791)-CM-LL";"FL";"5 days 16 hours";"0";"$1.00"
1690749;"MONITORS-ASUS-TWO 22" MODEL AL2216W, BOTH WITHOUT STANDS(17-00840/430)SB-ZZ";"FL";"5 days 16 hours";"4";"$51.00"
1689240;"Computer - Custom Desktop i5-2500 3.30/4GB/500GB - (W17-01714)-CM-VV";"FL";"5 days 19 hours";"1";"$10.00"
1690696;"Computer - Apple iMac 6,1 24", Core 2@2.3/3GB/No HDD (227028) GH-J";"FL";"6 days 1 hour";"2";"$20.50"
1690700;"MONITORS-DELL-MODELS 2310/2311 W/DELL AS501 STEREO SOUND BARS(W16-23858/55)SB-MM";"FL";"6 days 1 hour";"3";"$177.50"
1690732;"PRINTER - HP, LaserJet 2600n - (17-03731) - GH-WW";"FL";"6 days 1 hour";"4";"$20.50"
1691147;"Computer - Toshiba Satellite Laptop i5 2.27/4GB/160GB - (W16-21901)-CM-LCA-11";"FL";"6 days 3 hours";"6";"$48.01"
1688087;"Computer - Custom Desktop i5-2500 3.30/4GB/1TB - (W17-01665)-CM-HH";"FL";"6 days 3 hours";"3";"$26.00"
1691164;"Computer - HP ProBook 6550B Laptop i3 2.27/4GB/160GB - (W16-15217)-CM-LCA-12";"FL";"6 days 3 hours";"2";"$26.00"
1691131;"Computer - Dell Latitude D620 Laptop C2D 2.00/2GB/NoHD - (235663)-CM-LCA-10";"FL";"6 days 4 hours";"1";"$5.00"
1689230;"Computer - Custom Desktop i5-2500 3.30/4GB/500GB - (W17-01666)-CM-VV";"FL";"6 days 15 hours";"1";"$10.00"
1691447;"Lot of 80 Cisco Wireless Access Point";"FL";"6 days 17 hours";"0";"$75.00"
1682485;"5.2GB Optical Disc";"FL";"6 days 21 hours";"6";"$60.00"
1689317;"IBM Server Blade";"FL";"6 days 22 hours";"0";"$2.00"
1689846;"One Lot of dell D630 laptops and accecories";"FL";"7 days 1 hour";"1";"$100.00"
1689862;"One Lot of dell desktops and monitors.";"FL";"7 days 1 hour";"4";"$500.00"
1691460;"PRINTER - HP, Color LaserJet CP3505n - (17-03384) - GH-UU";"FL";"7 days 1 hour";"2";"$13.05"
1691811;"Computer - Dell Optiplex 745 Desktop Core2 2.13/4GB/80 GB - (17-03387)-GH-RR";"FL";"7 days 1 hour";"0";"$1.00"
1691454;"Computer, Laptop, Dell Latitude E6500, C2D 2.53/4GB/160GB (256986) GH-LCA13";"FL";"7 days 2 hours";"1";"$5.00"
1691596;"Laptop, HP, Lot-0939, SN-USH938004T, Item-AR1600584-003";"FL";"4 days 1 hour";"0";"$10.00"
1691601;"Laptop, Dell, Lot-0943, SN-H5GTMF1, Item-AR1600581-032";"FL";"4 days 1 hour";"0";"$10.00"
1691616;"Laptop, Dell, Lot-0944, SN-1CSV4H1, Item-AR1600581-033";"FL";"4 days 1 hour";"0";"$10.00"
1688927;"Computer, Laptop, Lenovo T400s, C2D 2.4/3GB/NoHD (17-02652) GH-LCA6";"FL";"4 days 2 hours";"2";"$20.50"
